Rank,Youtube Channel,Subscribers,Video Views,Video Count,Category,Started
38,Ed Sheeran,52800000,29004663326,258,Music,2006
39,LooLoo Kids - Nursery Rhymes and Children's Songs,52300000,30857986532,607,Music,2014
40,Ariana Grande,52200000,23058776245,146,Music,2007
41,YRF,51000000,32068851747,3475,Film & Animation,2006
42,Taylor Swift,50700000,27714189976,204,Music,2006
43,BillionSurpriseToys - English Kids Songs & Cartoon,49700000,8662901485,637,Education,2013
44,Infobells - Hindi,48400000,27621598218,514,Education,2014
45,Billie Eilish,47300000,12810775364,51,Music,2013
46,JuegaGerman,47000000,14143277535,2017,Gaming,2013
47,Badabun,46300000,19053487396,16726,Entertainment,2014
48,Fernanfloo,45600000,10146422791,542,Gaming,2011
49,Bad Bunny,45100000,28114460507,127,Music,2014
50,Felipe Neto,44800000,16043230315,3977,Entertainment,2006
51,SonyMusicIndiaVEVO,44800000,25915043211,3366,Music,2009
52,BRIGHT SIDE,44300000,10430931571,5173,Howto & Style,2017
53,Get Movies,44200000,29251998725,3160,Entertainment,2006
54,Você Sabia?,44100000,7597909400,1444,Entertainment,2013
55,whinderssonnunes,44000000,4179250874,524,Comedy,2013
56,Shemaroo,44000000,22419193201,10697,Entertainment,2007
57,A4,43900000,19946220349,709,Gaming,2014
58,Katy Perry,43800000,24676643547,120,Music,2008
59,HolaSoyGerman.,43400000,4782790153,136,Entertainment,2011
60,Alan Walker,42800000,12266013874,364,Music,2012
61,Voot Kids,42300000,19620244169,3923,Entertainment,2016
62,Like Nastya Show,42100000,19124111758,606,Entertainment,2017
63,ABS-CBN Entertainment,42100000,48815821642,185775,People & Blogs,2008
64,Speed Records,41800000,25752372644,10608,Music,2012
65,Rihanna,40900000,21169959746,82,Entertainment,2005
66,Маша и Медведь,40900000,34577807066,1281,Film & Animation,2011
67,Little Baby Bum - Nursery Rhymes & Kids Songs,40600000,38573516896,2245,Education,2011
68,elrubiusOMG,40400000,7581423100,711,Gaming,2011
69,Shakira,40100000,25428049775,307,People & Blogs,2005
70,Luisito Comunica,39800000,8160328364,1194,Comedy,2012
71,Ishtar Music,39500000,16198667693,4582,Trailers,2005
72,Kimberly Loaiza,39500000,4939734902,250,People & Blogs,2016
73,LUCCAS NETO - LUCCAS TOON,38700000,21415852275,1985,People & Blogs,2014
74,ARY Digital HD,38600000,32383019054,88409,Entertainment,2016
75,Masha and The Bear,38500000,21850302761,1035,Shows,2014
76,XXXTENTACION,38400000,10134205288,129,Music,2015
77,GR6 EXPLODE,38400000,24701070352,4134,Music,2014
78,Toys and Colors,38400000,44190624959,905,Entertainment,2016
79,TheEllenShow,38300000,22535632362,14993,Entertainment,2006
80,WorkpointOfficial,38100000,36234268240,69696,Entertainment,2012
81,One Direction,37800000,13125170526,157,Music,2010
82,CarryMinati,37600000,3110725449,180,Comedy,2014
83,Daddy Yankee,37500000,21667615457,471,Music,2011
84,shfa2 - شفا,37400000,22249785330,1468,People & Blogs,2017
85,Super Simple Songs - Kids Songs,37400000,40905820903,647,Education,2006
86,TEDx Talks,37300000,7025367828,191506,Nonprofits & Activism,2009
87,shfa,37000000,20196597873,920,People & Blogs,2015
88,Jkk Entertainment,36700000,15892449076,207,Comedy,2017
89,HAR PAL GEO,36700000,32307389493,80499,Entertainment,2008
